provinsi,jenis,daerah,tahun,periode,gk,gk_scaled,provinsi_encoded,jenis_encoded,daerah_encoded,periode_encoded,gk_category,cluster,pca1,pca2
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2017,MARET,104496.0,0.06785905794376196,0,1,1,0,Sangat Rendah,1,-200414.72055470623,-16.934331738500923
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2017,SEPTEMBER,107572.0,0.07159079053042527,0,1,1,1,Sangat Rendah,1,-197338.72055463155,-16.92764470839562
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2018,MARET,111335.0,0.07615597574616453,0,1,1,0,Sangat Rendah,1,-193575.72055117405,-16.917488810535005
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2018,SEPTEMBER,114830.0,0.08039602951417113,0,1,1,1,Sangat Rendah,1,-190080.72055110356,-16.90989874656738
ACEH,NONMAKANAN,PERKOTAAN,2019,MARET,137577.0,0.10799216772900536,0,1,2,0,Sangat Rendah,1,-167333.72054751872,-16.858654229041427
ACEH,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,140281.0,0.11127259845538298,0,1,2,1,Sangat Rendah,1,-164629.72054744032,-16.8527689378306
ACEH,NONMAKANAN,PERKOTAAN,2020,MARET,143425.0,0.11508682708102325,0,1,2,0,Sangat Rendah,1,-161485.7205439766,-16.843947116248692
ACEH,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,144182.0,0.11600520210316373,0,1,2,1,Sangat Rendah,1,-160728.72054387874,-16.842258022961374
ACEH,NONMAKANAN,PERDESAAN,2019,MARET,106943.0,0.07082770216988846,0,1,0,0,Sangat Rendah,1,-197967.7205478468,-16.92502514296327
ACEH,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,110248.0,0.0748372522995771,0,1,0,1,Sangat Rendah,1,-194662.72054777443,-16.917844569291212
ACEH,NONMAKANAN,PERDESAAN,2020,MARET,116270.0,0.08214300445721245,0,1,0,0,Sangat Rendah,1,-188640.72054433954,-16.902820047337528
ACEH,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,116847.0,0.08284300761147279,0,1,0,1,Sangat Rendah,1,-188063.72054423986,-16.901518892224956
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2019,MARET,116842.0,0.08283694172625389,0,1,1,0,Sangat Rendah,1,-188068.72054762853,-16.90351662506221
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2019,SEPTEMBER,120033.0,0.08670818967295174,0,1,1,1,Sangat Rendah,1,-184877.720547555,-16.896581745567488
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2020,MARET,125093.0,0.092846865514472,0,1,1,0,Sangat Rendah,1,-179817.7205441105,-16.883630537636616
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2020,SEPTEMBER,125892.0,0.09381619397245117,0,1,1,1,Sangat Rendah,1,-179018.72054401302,-16.881850925441853
ACEH,NONMAKANAN,PERKOTAAN,2021,MARET,147729.0,0.12030834107744681,0,1,2,0,Sangat Rendah,1,-157181.72054041908,-16.832567650910452
ACEH,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,151144.0,0.12445134068195107,0,1,2,1,Sangat Rendah,1,-153766.72054034777,-16.82515000390938
ACEH,NONMAKANAN,PERKOTAAN,2022,MARET,157867.0,0.13260752994727532,0,1,2,0,Sangat Rendah,1,-147043.72053691992,-16.80861467828627
ACEH,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,164956.0,0.14120774201062258,0,1,2,1,Sangat Rendah,1,-139954.7205368854,-16.79327878209621
ACEH,NONMAKANAN,PERDESAAN,2021,MARET,122118.0,0.08923766380923034,0,1,0,0,Sangat Rendah,1,-182792.72054079745,-16.8881129345448
ACEH,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,126262.0,0.0942650694786493,0,1,0,1,Sangat Rendah,1,-178648.72054073345,-16.879124137936003
ACEH,NONMAKANAN,PERDESAAN,2022,MARET,131658.0,0.10081137280687921,0,1,0,0,Sangat Rendah,1,-173252.7205372923,-16.86544877874561
ACEH,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,140763.0,0.11185734979048434,0,1,0,1,Sangat Rendah,1,-164147.720537278,-16.84576797499839
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2021,MARET,130689.0,0.09963580425145763,0,1,1,0,Sangat Rendah,1,-174221.72054056585,-16.869466538288528
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2021,SEPTEMBER,134643.0,0.10443270628255866,0,1,1,1,Sangat Rendah,1,-170267.72054049998,-16.860887231975298
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2022,MARET,140570.0,0.11162320662103503,0,1,1,0,Sangat Rendah,1,-164340.72053706413,-16.8460674551694
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2022,SEPTEMBER,149038.0,0.12189638982775314,0,1,1,1,Sangat Rendah,1,-155872.72053704344,-16.82775952151837
ACEH,TOTAL,PERKOTAAN,2013,MARET,359217.0,0.3768807277121179,0,2,2,0,Rendah,0,54306.279430162685,-16.392776370224766
ACEH,TOTAL,PERKOTAAN,2013,SEPTEMBER,374261.0,0.3951317631587248,0,2,2,1,Rendah,2,69350.27943011757,-16.36029576192301
ACEH,TOTAL,PERKOTAAN,2014,MARET,383186.0,0.40595936827444973,0,2,2,0,Rendah,2,78275.27943352336,-16.339014659295508
ACEH,TOTAL,PERKOTAAN,2014,SEPTEMBER,396939.0,0.4226441921575383,0,2,2,1,Rendah,2,92028.27943349117,-16.30931642979151
ACEH,TOTAL,PERDESAAN,2013,MARET,319416.0,0.3285950681926816,0,2,0,0,Rendah,0,14505.279429926362,-16.478904113301603
ACEH,TOTAL,PERDESAAN,2013,SEPTEMBER,337962.0,0.3510946496466015,0,2,0,1,Rendah,0,33051.27942984615,-16.43887595228895
ACEH,TOTAL,PERDESAAN,2014,MARET,350204.0,0.36594636301654043,0,2,0,0,Rendah,0,45293.27943321876,-16.41044601118571
ACEH,TOTAL,PERDESAAN,2014,SEPTEMBER,369232.0,0.38903069580556165,0,2,0,1,Rendah,2,64321.27943313378,-16.36937903794957
ACEH,TOTAL,PERDESAANPERKOTAAN,2013,MARET,313294.0,0.32116799833066834,0,2,1,0,Rendah,0,8383.279430305003,-16.491924248165027
ACEH,TOTAL,PERDESAANPERKOTAAN,2013,SEPTEMBER,313294.0,0.32116799833066834,0,2,1,1,Rendah,0,8383.279430410475,-16.49186665042372
ACEH,TOTAL,PERDESAANPERKOTAAN,2014,MARET,313294.0,0.32116799833066834,0,2,1,0,Rendah,0,8383.27943390567,-16.489820815627382
ACEH,TOTAL,PERDESAANPERKOTAAN,2014,SEPTEMBER,313294.0,0.32116799833066834,0,2,1,1,Rendah,0,8383.279434011143,-16.489763217886075
ACEH,TOTAL,PERKOTAAN,2015,MARET,410414.0,0.43899175282245634,0,2,2,0,Menengah,2,105503.27943685144,-16.27822911219126
ACEH,TOTAL,PERKOTAAN,2015,SEPTEMBER,420324.0,0.45101433732630336,0,2,2,1,Menengah,2,115413.27943685773,-16.256813362718095
ACEH,TOTAL,PERKOTAAN,2016,MARET,427970.0,0.46029028900303537,0,2,2,0,Menengah,2,123059.27944027632,-16.23828877634337
ACEH,TOTAL,PERKOTAAN,2016,SEPTEMBER,445488.0,0.4815427244559507,0,2,2,1,Menengah,2,140577.27944020642,-16.200476173350935
ACEH,TOTAL,PERDESAAN,2015,MARET,382117.0,0.40466248201465027,0,2,0,0,Rendah,2,77206.27943649993,-16.33956329547765
ACEH,TOTAL,PERDESAAN,2015,SEPTEMBER,394419.0,0.41958698600721595,0,2,0,1,Rendah,2,89508.27943648229,-16.312992278704527
ACEH,TOTAL,PERDESAAN,2016,MARET,403985.0,0.43119223760800307,0,2,0,0,Menengah,2,99074.27943988168,-16.290329685132512
ACEH,TOTAL,PERDESAAN,2016,SEPTEMBER,415826.0,0.4455574669833867,0,2,0,1,Menengah,2,110915.27943986864,-16.264752221129154
ACEH,TOTAL,PERDESAANPERKOTAAN,2015,MARET,390150.0,0.41440793320732466,0,2,1,0,Rendah,2,85239.27943673689,-16.322076403321454
ACEH,TOTAL,PERDESAANPERKOTAAN,2015,SEPTEMBER,401772.0,0.42850747681012075,0,2,1,1,Menengah,2,96861.27943672606,-16.29697093076404
ACEH,TOTAL,PERDESAANPERKOTAAN,2016,MARET,410956.0,0.43964929478018444,0,2,1,0,Menengah,2,106045.27944012929,-16.27513162820732
ACEH,TOTAL,PERDESAANPERKOTAAN,2016,SEPTEMBER,424765.0,0.4564020565777246,0,2,1,1,Menengah,2,119854.27944009652,-16.245312706826738
ACEH,TOTAL,PERKOTAAN,2017,MARET,458011.0,0.4967353405751914,0,2,2,0,Menengah,2,153100.27944357623,-16.171440617652674
ACEH,TOTAL,PERKOTAAN,2017,SEPTEMBER,479872.0,0.5232566039292378,0,2,2,1,Menengah,2,174961.27944346284,-16.12426792858845
ACEH,TOTAL,PERKOTAAN,2018,MARET,486338.0,0.5311010066943109,0,2,2,0,Menengah,2,181427.2794468933,-16.10828649247039
ACEH,TOTAL,PERKOTAAN,2018,SEPTEMBER,496752.0,0.5437350324282223,0,2,2,1,Menengah,2,191841.27944689454,-16.08578451610794
ACEH,TOTAL,PERDESAAN,2017,MARET,425730.0,0.4575727724249711,0,2,0,0,Menengah,2,120819.27944326465,-16.24136116587345
ACEH,TOTAL,PERDESAAN,2017,SEPTEMBER,442869.0,0.47836541377829433,0,2,0,1,Menengah,2,137958.27944319852,-16.20436538826006
ACEH,TOTAL,PERDESAAN,2018,MARET,454740.0,0.49276703846499126,0,2,0,0,Menengah,2,149829.27944657486,-16.176735030839215
ACEH,TOTAL,PERDESAAN,2018,SEPTEMBER,467242.0,0.5079341778663127,0,2,0,1,Menengah,2,162331.27944655519,-16.149732971649705
ACEH,TOTAL,PERDESAANPERKOTAAN,2017,MARET,435454.0,0.4693697059986752,0,2,1,0,Menengah,2,130543.27944348467,-16.22022981008672
ACEH,TOTAL,PERDESAANPERKOTAAN,2017,SEPTEMBER,454124.0,0.4920197214060237,0,2,1,1,Menengah,2,149213.27944340324,-16.17993440277591
ACEH,TOTAL,PERDESAANPERKOTAAN,2018,MARET,464626.0,0.5047605067197876,0,2,1,0,Menengah,2,159715.27944679325,-16.155254530695217
ACEH,TOTAL,PERDESAANPERKOTAAN,2018,SEPTEMBER,476665.0,0.5193659451498395,0,2,1,1,Menengah,2,171754.27944677824,-16.129250334699638
ACEH,TOTAL,PERKOTAAN,2019,MARET,501617.0,0.5496371387462058,0,2,2,0,Menengah,2,196706.279450341,-16.073253574533044
ACEH,TOTAL,PERKOTAAN,2019,SEPTEMBER,517900.0,0.5693913005500544,0,2,2,1,Menengah,3,212989.27945028344,-16.038102658461785
ACEH,TOTAL,PERKOTAAN,2020,MARET,541451.0,0.5979628331080867,0,2,2,0,Menengah,3,236540.2794535429,-15.985299423924076
ACEH,TOTAL,PERKOTAAN,2020,SEPTEMBER,543685.0,0.6006730706238884,0,2,2,1,Menengah,3,238774.27945362602,-15.980427082391753
ACEH,TOTAL,PERDESAAN,2019,MARET,479569.0,0.5228890112849728,0,2,0,0,Menengah,2,174658.27944992698,-16.1211198375195
ACEH,TOTAL,PERDESAAN,2019,SEPTEMBER,497615.0,0.5447820042170034,0,2,0,1,Menengah,2,192704.27944985178,-16.08216928254781
ACEH,TOTAL,PERDESAAN,2020,MARET,512886.0,0.563308430852548,0,2,0,0,Menengah,2,207975.27945319406,-16.047211204048423
ACEH,TOTAL,PERDESAAN,2020,SEPTEMBER,514663.0,0.5654642464593428,0,2,0,1,Menengah,3,209752.27945328178,-16.04332379443754
ACEH,TOTAL,PERDESAANPERKOTAAN,2019,MARET,486935.0,0.5318252733894467,0,2,1,0,Menengah,2,182024.27945017058,-16.105070471821946
ACEH,TOTAL,PERDESAANPERKOTAAN,2019,SEPTEMBER,504414.0,0.5530303949376548,0,2,1,1,Menengah,2,199503.27945010108,-16.06734192210071
ACEH,TOTAL,PERDESAANPERKOTAAN,2020,MARET,522125.0,0.5745169735600195,0,2,1,0,Menengah,3,217214.27945341897,-16.02712512612143
ACEH,TOTAL,PERDESAANPERKOTAAN,2020,SEPTEMBER,524208.0,0.5770440213422106,0,2,1,1,Menengah,3,219297.27945350355,-16.022578221613475
ACEH,TOTAL,PERKOTAAN,2021,MARET,565776.0,0.6274733646980037,0,2,2,0,Menengah,3,260865.27945689997,-15.93077045749365
ACEH,TOTAL,PERKOTAAN,2021,SEPTEMBER,577270.0,0.6414176216391962,0,2,2,1,Menengah,3,272359.2794568904,-15.905940852082722
ACEH,TOTAL,PERKOTAAN,2022,MARET,606394.0,0.6767501898622073,0,2,2,0,Tinggi,3,301483.27946009405,-15.841126620612453
ACEH,TOTAL,PERKOTAAN,2022,SEPTEMBER,646232.0,0.7250807369322634,0,2,2,1,Tinggi,3,341321.2794598007,-15.755209683951495
ACEH,TOTAL,PERDESAAN,2021,MARET,529035.0,0.5829000269325303,0,2,0,0,Menengah,3,224124.27945663303,-16.0103032515998
